en,bg
about,относно
up,нагоре
at,при
him,него
now,сега
oh,ох
one,един
come,идвам
well,добре
her,тя
how,как
yeah,да
ve,съм
will,ще
got,има
want,искам
think,мисля
as,като
see,виждам
did,Направих
good,добре
who,Кой
why,защо
from,от
let,позволявам
his,му
yes,да
when,кога
going,ще
time,път
an,един
okay,добре
back,обратно
look,виж
us,нас
would,би се
them,тях
where,където
were,са били
take,предприеме
then,тогава
had,имах
or,или
been,е
our,наш
gonna,ще
tell,казвам
really,наистина ли
man,мъж
some,някои
say,казвам
hey,Хей
could,бих могъл
d,д
didn,Не мислех
by,от
need,трябва
something,нещо
has,има
too,също
more,Повече ▼
way,път
down,надолу
make,грим
very,много
never,никога
only,само
people,хора
over,над
because,защото
little,малко
please,Моля те
love,любов
should,Трябва
mean,означава
said,казах
sorry,съжалявам
give,давам
off,от
am,ч
thank,благодаря
any,който и да е
two,две
even,дори
much,много
doing,правене
sure,сигурен
thing,нещо
these,тези
help,помогне
first,първи
into,в
anything,нищо
still,все още
find,намирам
life,живот
nothing,Нищо
sir,господине
day,ден
god,Бог
work,работа
their,техен
uh,ъ-ъ
again,отново
maybe,може би
must,трябва да
before,преди
other,друг
wait,изчакайте
stop,Спри се
call,обади се
after,след
won,Спечелени
talk,говоря
away,далеч
than,от
thought,мисъл
home,У дома
night,нощ
put,слагам
great,страхотен
those,тези
last,последно
better,По-добре
everything,всичко
told,каза
mr.,г-н.
new,нов
things,вещи
always,винаги
keep,пазя
long,дълго
years,години
leave,отпуск
does,прави
money,пари
around,около
doesn,неотворено
name,име
place,място
ever,някога
feel,Усещам
guys,момчета
father,баща
guy,човек
made,изработен
old,стар
isn,нали
which,който
big,голям
lot,много
done,Свършен
hello,Здравейте
nice,приятен
believe,вярвам
girl,момиче
someone,някой
fine,глоба
thanks,Благодаря
wanted,търси се
kind,мил
coming,идващ
house,къща
every,всеки
ok,Добре
through,през
being,същество
course,курс
stay,престой
left,наляво
dad,татко
enough,достатъчно
happened,се случи
came,дойде
may,може
mother,майка
wrong,погрешно
world,свят
bad,лошо
might,"биха могли, може"
three,три
today,днес
listen,слушам
another,друг
understand,разбирам
hear,чувам
remember,помня
ask,питам
own,собствен
same,същото
show,шоу
else,още
kill,убийство
talking,говорим
found,намерено
next,следващия
getting,получаване на
care,грижа
car,кола
looking,търси
son,син
try,опитвам
woman,жена
went,отидох
hi,здрасти
dead,мъртъв
many,много
mind,ум
wasn,Не беше
friend,приятел
best,най-доброто
mom,мама
hell,ад
morning,сутрин
trying,опитвайки
boy,момче
together,заедно
yourself,себе си
job,работа
saw,трион
family,семейство
real,реален
without,без
baby,бебе
room,стая
wouldn,нямаше
already,вече
move,ход
most,най-много
seen,видян
live,на живо
miss,мис
actually,всъщност
huh,нали
shit,лайна
both,и двете
heard,Хърд
once,веднъж
ready,готов
head,глава
called,Наречен
used,използвана
idea,идея
knew,Знаех
hold,изчакване
happy,щастлив
door,врата
such,такъв
fuck,мамка
brother,брат
also,също
pretty,красива
bit,малко
took,взеха
haven,убежище
yet,още
men,хора
whole,цяло
start,начало
use,употреба
while,докато
since,от
wife,съпруга
days,дни
guess,предполагам
tomorrow,утре
matter,въпрос
meet,Среща
bring,въвеждат
tonight,тази нощ
everyone,всеки
run,тичам
wanna,искам
hard,твърд
ah,ах
alone,сам
myself,себе си
school,училище
gone,си отиде
um,хм
end,край
saying,поговорка
phone,телефон
play,игра
looks,външност
couldn,не можа да
fucking,шибан
problem,проблем
few,малцина
friends,приятели
gotta,Трябва да
ago,преди
open,отворен
anyone,някой
killed,убит
hope,надежда
face,лице
until,до
lost,загубен
police,полиция
excuse,извинение
turn,завъртете
business,бизнес
case,случай
wants,желанията
says,казва
TRUE,ВЯРНО
die,умирам
heart,сърце
soon,скоро
each,всеки
worry,притеснение
later,по късно
year,година
watch,гледам
music,музика
hand,ръка
having,като
probably,вероятно
beautiful,красив
doctor,лекар
sit,седнете
eat,Яжте
thinking,мислене
young,млад
second,втори
working,работническата
water,вода
person,човек
part,част
kids,деца
late,късен
stuff,материя
exactly,точно
under,при
death,смърт
minute,минута
pay,заплащане
crazy,луд
forget,забравям
everybody,всички
kid,хлапе
change,промяна
gave,дадох
happen,става
damn,проклет
five,пет
drink,питие
far,далече
knows,знае
its,негов
whatever,както и да е
eyes,очи
shut,затворена
aren,нали
hit,хит
taking,поемане
easy,лесно
times,пъти
check,проверка
hands,ръце
minutes,минути
deal,сделка
different,различно
means,средства
point,точка
inside,вътре
makes,прави
asked,попитах
somebody,някой
mine,моята
making,приготвяне
body,тяло
afraid,уплашен
sleep,сън
chance,шанс
dear,скъп
quite,съвсем
four,четири
anyway,така или иначе
close,близо
ain,Ain
party,страна
fun,шега
against,срещу
word,дума
comes,идва
important,важно
set,комплект
shall,ще
story,история
number,номер
daughter,дъщеря
least,най-малко
waiting,очакване
hurt,боли
wish,желанието
moment,момент
fight,битка
week,седмица
husband,съпруг
girls,момичета
rest,Почивка
married,женен
fire,пожар
game,игра
nobody,Никой
mr,г-н
children,деца
side,страна
stand,стоя
read,Прочети
though,въпреки че
cut,разрез
started,започна
sister,сестра
supposed,предполагаем
between,между
child,дете
goes,отива
hours,часа
speak,говори
women,Жени
behind,зад
almost,почти
truth,истина
blood,кръв
able,способен
lady,дама
anymore,вече
playing,игралното
gets,получава
shot,изстрел
reason,причина
trouble,беда
break,почивка
war,война
city,град
walk,разходка
town,град
trust,Доверие
dr.,д-р.
met,MET
office,офис
question,въпрос
brought,донесе
yours,твой
welcome,добре дошли
high,Високо
wow,Еха
couple,двойка
half,наполовина
died,починал
cool,готино
free,Безплатно
either,един
seems,Изглежда
power,мощност
whoa,прт
bye,чао
buy,Купува
telling,показателен
honey,пчелен мед
tried,опитах
front,преден
team,екип
answer,отговор
gun,пистолет
boys,момчета
line,линия
send,изпрати
news,Новини
stupid,тъп
bed,легло
hurry,бързам
full,пълен
months,месеца
save,спасяване
sometimes,понякога
become,да стане
along,заедно
hate,омразата
food,храна
outside,извън
light,светлина
l,л
needs,потребности
dog,куче
country,страна
clear,ясно
order,поръчка
em,ем
fact,факт
lord,господар
captain,капитан
six,шест
hot,горещ
funny,смешен
black,черно
mrs.,Г-жа.
alive,жив
pick,избирам
feeling,чувство
living,жив
cause,кауза
ahead,напред
lose,губя
king,цар
plan,план
dinner,вечеря
sighs,въздишки
sort,вид
leaving,оставяйки
shouldn,Не трябваше
running,тичане
boss,шеф
alright,добре
promise,обещание
taken,взета
safe,сейф
ma,мама
book,Книга
sent,изпратени
white,бял
hour,час
anybody,някой
small,малък
perfect,съвършен
cause,кауза
lives,живота
special,специален
parents,родители
s,с
john,Джон
himself,себе си
perhaps,може би
sounds,звуци
serious,сериозно
sick,болен
company,компания
ha,ха
scared,уплашен
uncle,чичо
poor,беден
red,червен
past,минало
earth,земя
possible,възможен
shoot,фотосесия
touch,докосване
sound,звук
top,връх
ass,задник
laughs,смее
cannot,не мога
asking,пита
win,печеля
glad,доволен
control,контрол
hmm,хмм
human,човек
drive,път
hair,коса
jack,крик
bitch,кучка
luck,късмет
murder,убийство
happens,случва се
air,въздух
ten,десет
daddy,татко
finally,накрая
chuckles,подсмихва
fast,бърз
cold,студ
seem,Изглежда
laughing,смее се
words,думи
hospital,болница
street,улица
hang,вися
dance,танцувам
meeting,среща
till,до
others,други
catch,улов
follow,последвам
sense,смисъл
sex,секс
lie,лъжа
evening,вечер
master,майстор
known,известно
dream,мечта
write,пиши
million,милион
voice,глас
sweet,сладка
rather,по-скоро
felt,чувствах
sign,знак
lucky,късметлия
somewhere,някъде
bet,залагане
o,о
jesus,Исус
longer,повече време
calling,призвание
worked,работил
quiet,тих
looked,погледнах
less,по-малко
pull,дърпане
beat,ритъм
careful,внимателен
coffee,кафе
return,връщане
secret,тайна
weeks,седмици
weren,weren
date,дата
seeing,виждане
fall,падане
given,даден
ooh,ооо
fault,вина
straight,направо
takes,отнема
song,песен
future,бъдеще
gentlemen,господа
loved,обичал
changed,променен
road,път
calm,спокоен
wonderful,чудесен
mad,луд
turned,оказа
drop,изпускайте
ladies,дами
learn,уча
step,стъпка
absolutely,абсолютно
early,рано
explain,обяснявам
clean,чист
piece,парче
yesterday,вчера
throw,хвърлям
picture,снимка
land,земя
feet,крака
wonder,чудя се
questions,въпроси
speaking,говорещ
worth,заслужава си
darling,любимец
dude,пич
giving,давайки
president,президент
eye,око
quick,бърз
moving,движещ се
figure,фигура
state,състояние
strong,силен
sam,Сам
none,нито един
amazing,удивителен
ones,нечий
works,върши работа
act,действа
needed,необходима
weird,странен
law,закон
worried,притесняваше
report,доклад
goodbye,Довиждане
missing,липсващ
choice,избор
happening,случва
chief,главен
wedding,сватба
strange,странен
general,общ
pain,болка
am,ч
kidding,майтап
decided,реши
ya,у а
pass,минавам
tired,уморен
class,клас
officer,офицер
kept,съхраняват
wake,събуждам
worse,по-лошо
busy,зает
eh,а
mistake,грешка
kiss,целувка
court,съдебна зала
building,сграда
finish,завършек
during,по време на
age,възраст
ship,кораб
caught,хванат
marry,се ожени
meant,означаваше
sell,продажба
dark,тъмен
watching,гледане
system,система
suppose,предполагам
evidence,доказателства
movie,филм
ride,езда
t,т
completely,напълно
mouth,уста
totally,напълно
birthday,рожден ден
tv,телевизия
forgive,прощавам
born,роден
imagine,Представете си
information,информация
instead,вместо
definitely,определено
security,сигурност
certainly,разбира се
film,филм
month,месец
lying,лежащ
unless,освен ако
train,влак
seven,седем
wear,износване
clothes,дрехи
michael,Майкъл
hotel,хотел
christmas,Коледа
attack,атака
hasn,hasn
round,кръгъл
expect,очаквам
sing,Пей
terrible,ужасен
george,Джордж
bag,чанта
history,история
blue,син
near,близо до
broke,разорен
station,станция
seriously,сериозно
forever,завинаги
david,Дейвид
frank,откровен
except,с изключение
thinks,мисли
message,съобщение
entire,цял
joe,Джо
table,маса
talked,говорих
across,през
rock,рок
lovely,прекрасен
handle,дръжка
middle,среден
buddy,приятелю
paid,платен
protect,защитавам
using,използвайки
floor,етаж
ran,завтече
swear,Закълни се
spend,харча
situation,ситуация
ring,пръстен
anywhere,навсякъде
dangerous,опасно
bill,законопроект
york,йорк
army,армия
lead,водя
bought,купих
finished,завършен
fair,справедлив
sun,слънце
letter,писмо
fool,глупак
attention,внимание
club,клуб
simple,прост
interesting,интересен
space,пространство
test,тест
box,кутия
group,група
single,единичен
sitting,седнал
marriage,брак
join,присъединяване
fear,страх
d,д
peace,мир
forgot,забравих
force,сила
short,къс
normal,нормален
charlie,Чарли
present,настояще
enjoy,наслади се
mike,микрофон
crime,престъпление
horse,кон
ground,приземен
american,американски
count,броя
area,■ площ
charge,зареждане
honor,чест
lunch,обяд
miles,мили
radio,радио
idiot,идиот
ball,топка
surprise,изненада
paper,хартия
key,ключ
boat,лодка
quickly,бързо
gold,злато
bar,бар
fish,риба
mark,марка
tom,мъжко животно
wearing,носенето
crying,плач
accident,злополука
government,правителство
eight,осем
fell,падна
cover,Покрийте
certain,определен
interested,заинтересован
deep,Дълбок
star,звезда
sea,море
agree,Съгласен
problems,проблеми
detective,детектив
prison,затвор
major,голям
stick,пръчка
offer,оферта
difficult,трудно
smart,умен
personal,персонален
record,рекорд
stopped,спряна
hide,Крия
whether,дали
bank,банка
trip,пътуване
relax,отпуснете се
america,Америка
public,обществен
list,списък
afternoon,следобед
brain,мозък
fix,корекция
bastard,копеле
proud,горд
tea,чай
service,обслужване
screaming,крещящ
forward,напред
angry,ядосан
park,парк
soul,душа
fighting,борба
peter,Петър
rich,богат
agent,агент
blow,удар
paul,Павел
dress,рокля
mary,Дева Мария
missed,пропуснал
scene,сцена
killing,убиване
standing,стоящ
saved,Запазени
mm,mm
respect,уважават
killer,убиец
ice,лед
mess,бъркотия
tough,труден
feels,Усеща
church,църква
sad,тъжен
cell,клетка
drunk,пиян
share,дял
camera,камера
mm-hmm,мм Хм
within,в рамките на
card,карта
fly,летя
ben,Бен
girlfriend,приятелка
laugh,смях
smell,миризма
broken,разбито
mum,мама
honest,честен
often,често
starting,стартиране
calls,повиквания
y,ш
spent,прекарах
third,трета
english,Английски
visit,посещение
mama,мама
judge,съдия
window,прозорец
hungry,гладен
dare,осмелявам се
relationship,връзка
moved,преместен
prove,докажи
private,частен
wall,стена
seat,седалка
i-i,аз-и
position,позиция
lieutenant,лейтенант
realize,осъзнават
lt,LT
especially,особено
machine,машина
walking,ходене
art,изкуство
pleasure,удоволствие
bloody,кървав
college,колеж
french,Френски
involved,участващи
cry,вик
became,стана
lived,живял
impossible,невъзможен
obviously,очевидно
neither,нито едното
accept,приемам
boyfriend,гадже
besides,Освен това
queen,кралица
teacher,учител
cops,ченгета
sake,саке
loves,любови
carry,носене
teach,учи
apartment,апартамент
upset,разстроен
green,зелен
la,ла
liked,харесали
cute,сладък
evil,зло
professor,професор
contact,контакт
joke,шега
cop,полицай
huge,огромен
holy,свят
store,магазин
jail,затвор
likes,харесвания
lawyer,адвокат
doubt,съмнение
continue,продължи
appreciate,ценя
cat,котка
shop,магазин
driving,шофиране
congratulations,Честито
wrote,написах
village,село
quit,напускам
field,поле
james,Джеймс
wine,вино
decision,решение
south,южно
sleeping,спален
slow,бавен
laughter,смях
island,остров
glass,стъклена чаша
beginning,начало
cash,пари в брой
dying,умиращ
hundred,сто
whose,който
difference,разлика
plane,самолет
push,тласък
continues,продължава
mmm,ммм
singing,пеене
eating,храня се
north,север
mrs,г-жа
tree,дърво
madam,Мадам
gift,подарък
truck,камион
putting,пускането
bear,мечка
board,борд
grab,заграбване
beer,Бира
stuck,заседнали
magic,магия
support,поддържа
rules,правилник
grunts,грухтене
partner,партньор
reach,достигнат
wind,вятър
colonel,полковник
max,макс
immediately,веднага
seconds,секунди
thousand,хиляда
gives,дава
experience,опит
cheers,наздраве
victim,жертва
upon,върху
computer,компютър
christ,Христос